AUTEUR|'ROWLING', 'JOANNE', '17-12-1980'
AUTEUR|'TOLKIEN', 'JOHN RONALD REUEL', '03-01-1892'
AUTEUR|'VERNE', 'JULES GABRIEL', '08-02-1828'
AUTEUR|'RAFFY', 'SERGE', '05-04-1953'
AUTEUR|'CHRISTIE', 'AGATHA', '15-09-1890'
AUTEUR|'LEVY', 'MARC', '16-10-1961'

EDITEUR|'FOLIO','5 rue Gaston-Gallimard', 'PARIS', 'FRANCE','0149544200','catalogue@gallimard.fr'
EDITEUR|'HATIER','8 rue d''Assas dans le VIe arrondissement', 'PARIS', 'FRANCE','0141236600',' infos@dunod.com'
EDITEUR|'FAYARD','13 Rue du Montparnasse', 'PARIS', 'FRANCE','0145498200','edition@fayer.fr'
EDITEUR|'LIVRE DE POCHE','21 RUE DU MONTPARNASSE', 'PARIS', 'FRANCE','0123456789','contactldp@livredepoche.com'

COLLECTION|'HARRY POTTER'
COLLECTION|'LE SEIGNEUR DES ANNEAUX'

ADHERENT|'LAURET', 'CYRIL', '30-05-1995', '1 AVENUE DU TALSADOUMA','LAURETCYRIL95@GMAIL.COM','0668396776','20-01-2017'
ADHERENT|'WOLBER', 'HERRICK', '01-10-1991', '1 AVENUE DU GAME','WOLBERERICK@YAHOO.FR','0785581871','20-01-2017'
ADHERENT|'DWAYNE', 'JOHNSON', '02-05-1972', '3 AVENUE HOLLYWOOD','DWAYNEJ@GMAIL.COM','0683902746','20-01-2017'
ADHERENT|'ALEXANDRA', 'DADDARIO', '16-03-1986', '69 AVENUE FRANKLIN ROOSEVELT','ALEXANDRADADD@OUTLOOK.FR','0767874532','20-01-2017'
ADHERENT|'GRACE', 'BOUKOU', '03-04-1991', '6 RUE DE ANTIBES','BK@GMAIL.COM','0689093412','20-01-2017'

LIVRES|1,1,1,'HARRY POTTER A L''ECOLE DES SORCIERS','20-01-2017',15
LIVRES|1,1,1,'HARRY POTTER ET LA CHAMBRE DES SECRETS','20-01-2017',15
LIVRES|1,1,1,'HARRY POTTER ET LE PRISONNIER D''ASKABAN','20-01-2017',20
LIVRES|1,1,1,'HARRY POTTER ET LA COUPE DE FEU','20-01-2017',20
LIVRES|1,1,1,'HARRY POTTER ET L''ORDRE DU PHOENIX','20-01-2017',25
LIVRES|1,1,1,'HARRY POTTER ET LE PRINCE DE SANG MELEE','20-01-2017',25
LIVRES|1,1,1,'HARRY POTTER ET LES RELIQUES DE LA MORT','20-01-2017',25
LIVRES|2,1,2,'LE SEIGNEUR DES ANNEAUX -  LA COMMUNAUTE DE L''ANNEAUX','20-01-2017',25
LIVRES|2,1,2,'LE SEIGNEUR DES ANNEAUX -  LES DEUX TOURS','20-01-2017',35
LIVRES|2,1,2,'LE SEIGNEUR DES ANNEAUX -  LE RETOUR DU ROI ','20-01-2017',35
