AUTEUR|'ROWLING', 'JOANNE', '17-12-1980'
AUTEUR|'TOLKIEN', 'JOHN RONALD REUEL', '03-01-1892'
AUTEUR|'VERNE', 'JULES GABRIEL', '08-02-1828'
AUTEUR|'RAFFY', 'SERGE', '05-04-1953'
AUTEUR|'CHRISTIE', 'AGATHA', '15-09-1890'
AUTEUR|'LEVY', 'MARC', '16-10-1961
AUTEUR|'CHRISTIE', 'AGATHA', '15-09-1890'
AUTEUR|'PAOLINI', 'CHRISTOPHER', '17-11-1983'
AUTEUR|'ANDERSEN', 'HANS', '02-04-1805'
AUTEUR|'HUGO', 'VICTOR', '26-02-1802'
AUTEUR|'SHAKESPEAR', 'WILLIAM', '03-05-1564'


EDITEUR|'FOLIO','5 rue Gaston-Gallimard', 'PARIS', 'FRANCE','0149544200','catalogue@gallimard.fr'
EDITEUR|'HATIER','8 rue d''Assas dans le VIe arrondissement', 'PARIS', 'FRANCE','0141236600',' infos@dunod.com'
EDITEUR|'FAYARD','13 Rue du Montparnasse', 'PARIS', 'FRANCE','0145498200','edition@fayer.fr'
EDITEUR|'LIVRE DE POCHE','21 RUE DU MONTPARNASSE', 'PARIS', 'FRANCE','0123456789','contactldp@livredepoche.com'
EDITEUR|'EYROLLES','61 BOULEVARD SAINT GERMAIN', 'PARIS', 'FRANCE','0189452322','editeurs@editions-eyrolles.com'
EDITEUR|'FLAMMARION','87 QUAI PANHARD ET LEVASSOR', 'PARIS', 'FRANCE','0130413100','flammarion@edition.com'
EDITEUR|'HACHETTE','58 RUE JEAN BLEUZEN', 'PARIS', 'FRANCE','0160719518','hachettelivre@hachette.com'
EDITEUR|'BELIN','8 RUE FEROU', 'PARIS', 'FRANCE','0123456789','enseignants@edition-belin.fr'
EDITEUR|'BAYARD','18 RUE BARBES', 'PARIS', 'FRANCE','0174316060','bayard@edition.fr'


COLLECTION|'HARRY POTTER'
COLLECTION|'LE SEIGNEUR DES ANNEAUX'
COLLECTION|'ERAGON'
COLLECTION|'DIVERGENTE'
COLLECTION|'HUNGER GAMES'
